model,accuracy,precision,recall,f1_score,n_predictions,n_videos,n_participants
deepseek-ocr_1s,0.09655872256854216,0.0,0.0,0.0,0.64695389790668,0.64695389790668,0
deepseek-ocr_3s,0.1408418013899666,0.0,0.0,0.0,1.9475891374404053,1.9475891374404053,0
gemma3_1s,0.10192758556059446,0.10432013389175042,0.09826743642691564,0.10957228291357735,0.64695389790668,0.64695389790668,0
gemma3_3s,0.15658654675120465,0.15124581027523928,0.10871339472740373,0.15601147102987611,1.9475891374404053,1.9475891374404053,0
llava32vision_1s,0.09781242944015674,0.09781767366225144,0.03542385096593406,0.09656267585710515,0.6575697371257846,0.6575697371257846,0
llava32vision_3s,0.13929358101415065,0.19950682238329218,0.29440643048077125,0.19305580102636544,1.9475891374404053,1.9475891374404053,0
llava_1s,0.09488823860124192,0.09575518159817094,0.015553856804739034,0.09395996453522225,0.64695389790668,0.64695389790668,0
llava_3s,0.1408418013899666,0.1408418013899666,0.0,0.13863588544697522,1.9475891374404053,1.9475891374404053,0
llavallama3_1s,0.09917975388355744,0.17272107555158753,0.2795746850027004,0.18443625093232852,0.64695389790668,0.64695389790668,0
llavallama3_3s,0.16008530312317026,0.2277808546171839,0.3529198045868055,0.25332929157950845,1.9475891374404053,1.9475891374404053,0
mistralsmall32_1s,0.11554616577307263,0.10899353156525236,0.21629880094767234,0.13336909305370817,0.64695389790668,0.64695389790668,0
mistralsmall32_3s,0.1824053948857841,0.17102322295180045,0.24306842695294478,0.1940800251524033,1.9475891374404053,1.9475891374404053,0
qwen3_1s,0.08495712020438291,0.20711427174159006,0.297954652225123,0.19078323001571137,0.64695389790668,0.64695389790668,0
qwen3_3s,0.14662697197408608,0.29486877012397966,0.3787675167159782,0.2694602670056119,1.9475891374404053,1.9475891374404053,0
