,accuracy,precision,recall,f1,auc,mse,mae
llama32vision,0.4649242838898011,0.4649242838898011,1.0,0.6284943073903752,0.5,0.5350757161101988,0.5350757161101988
llavallama3,0.49023900748038673,0.41687192118226607,0.23820294446428747,0.29999102212283546,0.47258870982048096,0.5097609925196133,0.5097609925196133
deepseek_ocr,0.5621510673234811,0.5511083743842364,0.32224452548862714,0.401025979927164,0.549179798855522,0.437848932676519,0.437848932676519
gemma3,0.4649242838898011,0.4649242838898011,1.0,0.6284943073903752,0.5,0.5350757161101988,0.5350757161101988
qwen25,0.5808337894544792,0.5526083112290008,0.5121038595403387,0.5259433114634902,0.5777277595155518,0.41916621054552095,0.41916621054552095
mistralsmall32,0.4649242838898011,0.4649242838898011,1.0,0.6284943073903752,0.5,0.5350757161101988,0.5350757161101988
qwen3,0.5222587119138842,0.47516420361247946,0.26475698882686177,0.33646499151277715,0.5054369809193925,0.47774128808611566,0.47774128808611566
gemma3_27b,0.4649242838898011,0.4649242838898011,1.0,0.6284943073903752,0.5,0.5350757161101988,0.5350757161101988
llava,0.4936964057653712,0.47413793103448276,0.8158826377292802,0.5932563162947664,0.5155924024198285,0.5063035942346288,0.5063035942346288
