,accuracy,precision,recall,f1,auc,mse,mae
llama32vision,0.4649242838898011,0.4649242838898011,1.0,0.6284943073903752,0.5,0.5350757161101988,0.5350757161101988
llavallama3,0.5096606458675425,0.4241379310344827,0.15068782548365128,0.2199878568147607,0.4860634956096417,0.4903393541324576,0.4903393541324576
deepseek_ocr,0.5840266374749133,0.6810344827586207,0.20046160232185642,0.3061900147337692,0.5617668068352653,0.4159733625250867,0.4159733625250867
gemma3,0.4649242838898011,0.4649242838898011,1.0,0.6284943073903752,0.5,0.5350757161101988,0.5350757161101988
qwen25,0.5459678890713373,0.5117784514336239,0.5075610364630329,0.5042333311337603,0.5438299425655303,0.4540321109286627,0.4540321109286627
mistralsmall32,0.4649242838898011,0.4649242838898011,1.0,0.6284943073903752,0.5,0.5350757161101988,0.5350757161101988
qwen3,0.5451651158547709,0.5213464696223317,0.2575151582637971,0.34105109712700654,0.5273143956413681,0.45483488414522905,0.45483488414522905
gemma3_27b,0.4649242838898011,0.4649242838898011,1.0,0.6284943073903752,0.5,0.5350757161101988,0.5350757161101988
llava,0.446360153256705,0.4467766116941529,0.7990773342406736,0.567347137849127,0.4677571589916791,0.5536398467432949,0.5536398467432949
