Model,Mode_Accuracy,Last_Accuracy,Diff_Accuracy,Mode_F1,Last_F1,Diff_F1
llama32vision,0.43333333333333335,0.43333333333333335,0.0,0.6046511627906976,0.6046511627906976,0.0
llavallama3,0.5333333333333333,0.5,-0.033333333333333326,0.2222222222222222,0.2857142857142857,0.06349206349206349
deepseek_ocr,0.5,0.43333333333333335,-0.06666666666666665,0.11764705882352941,0.19047619047619047,0.07282913165266106
gemma3,0.43333333333333335,0.43333333333333335,0.0,0.6046511627906976,0.6046511627906976,0.0
qwen25,0.5,0.5333333333333333,0.033333333333333326,0.4444444444444444,0.46153846153846156,0.017094017094017144
mistralsmall32,0.43333333333333335,0.43333333333333335,0.0,0.6046511627906976,0.6046511627906976,0.0
qwen3,0.4666666666666667,0.43333333333333335,-0.033333333333333326,0.2,0.19047619047619047,-0.009523809523809545
gemma3_27b,0.43333333333333335,0.43333333333333335,0.0,0.6046511627906976,0.6046511627906976,0.0
llava,0.3333333333333333,0.36666666666666664,0.033333333333333326,0.47368421052631576,0.4864864864864865,0.01280227596017075
