Model,Mode_Accuracy,Last_Accuracy,Mode_F1,Last_F1,Mode_Poorly_Ratio,Last_Poorly_Ratio
llama32vision,0.43333333333333335,0.43333333333333335,0.6046511627906976,0.6046511627906976,1.0,1.0
llavallama3,0.5333333333333333,0.5,0.2222222222222222,0.2857142857142857,0.16666666666666666,0.26666666666666666
deepseek_ocr,0.5,0.43333333333333335,0.11764705882352941,0.19047619047619047,0.13333333333333333,0.26666666666666666
gemma3,0.43333333333333335,0.43333333333333335,0.6046511627906976,0.6046511627906976,1.0,1.0
qwen25,0.5,0.5333333333333333,0.4444444444444444,0.46153846153846156,0.4666666666666667,0.43333333333333335
mistralsmall32,0.43333333333333335,0.43333333333333335,0.6046511627906976,0.6046511627906976,1.0,1.0
qwen3,0.4666666666666667,0.43333333333333335,0.2,0.19047619047619047,0.23333333333333334,0.26666666666666666
gemma3_27b,0.43333333333333335,0.43333333333333335,0.6046511627906976,0.6046511627906976,1.0,1.0
llava,0.3333333333333333,0.36666666666666664,0.47368421052631576,0.4864864864864865,0.8333333333333334,0.8
